report_id,report_text,sif_label,life_saving_rule,activity,location,barrier_failure,source,source_url,industry,incident_type,date,data_origin
NON-SIF-057,"During small spill response at the loading dock, a minor non-hazardous oil drip was contained and cleaned before anyone was exposed. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Spill Management,Small spill response,Loading dock,Prompt cleanup and inspection,Internal Test Dataset,,Office,Low-risk observation,2024-03-07,internal_test
NON-SIF-097,"During housekeeping inspection at the warehouse aisle, a small amount of cardboard packaging was found in a designated aisle and was removed. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Housekeeping,Housekeeping inspection,Warehouse aisle,Routine inspection and timely removal of obstructions,Internal Test Dataset,,Manufacturing,Low-risk observation,2026-04-21,internal_test
NON-SIF-072,"During near-miss observation at the parking area, a delivery vehicle stopped before a marked crossing; no person entered the vehicle path. The condition did not involve high-energy or life-threatening hazards.",Non-SIF,Traffic Awareness,Near-miss observation,Parking area,Speed awareness and pedestrian vigilance,Internal Test Dataset,,Construction,Near Miss,2025-05-04,internal_test
SIF-041,"During work at height at the roof edge, a worker worked at an unprotected edge without a verified fall-arrest connection. The condition was identified before injury occurred.",SIF,Working at Height,Work at height,Roof edge,Fall protection / access equipment inspection,Internal Test Dataset,,Construction,Potential SIF,2026-07-16,internal_test
NON-SIF-041,"During low-risk observation at the storage area, materials were stacked unevenly on a low shelf and were restacked before use. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Safe Work Observation,Low-risk observation,Storage area,"Observation, feedback, and routine follow-up",Internal Test Dataset,,Utilities,Low-risk observation,2024-04-01,internal_test
NON-SIF-033,"During small spill response at the loading dock, a minor non-hazardous oil drip was contained and cleaned before anyone was exposed. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Spill Management,Small spill response,Loading dock,Prompt cleanup and inspection,Internal Test Dataset,,Office,Low-risk observation,2026-07-20,internal_test
NON-SIF-076,"During documentation review at the maintenance office, a routine inspection checklist was missing a supervisor signature. The condition did not involve high-energy or life-threatening hazards.",Non-SIF,Documentation Control,Documentation review,Maintenance office,"Current forms, record review, and supervisor approval",Internal Test Dataset,,Food Processing,Near Miss,2024-11-11,internal_test
NON-SIF-095,"During low-risk observation at the office work area, a monitor height was adjusted after an employee reported minor discomfort. The item was recorded for normal follow-up.",Non-SIF,Ergonomics,Low-risk observation,Office work area,Workstation adjustment and reporting,Internal Test Dataset,,Utilities,Low-risk observation,2025-12-12,internal_test
SIF-098,"During electrical maintenance at the motor control center, a worker began work on equipment that had not been confirmed de-energized. The task was stopped and the area was secured.",SIF,Electrical Safety,Electrical maintenance,Motor control center,"De-energization, LOTO, test-before-touch, PPE, and insulated tools",Internal Test Dataset,,Manufacturing,SIF precursor,2025-07-19,internal_test
NON-SIF-065,"During low-risk observation at the storage area, materials were stacked unevenly on a low shelf and were restacked before use. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Safe Work Observation,Low-risk observation,Storage area,"Observation, feedback, and routine follow-up",Internal Test Dataset,,Utilities,Low-risk observation,2025-05-10,internal_test
NON-SIF-090,"During near-miss observation at the pedestrian walkway, a pedestrian stepped briefly outside a marked walkway; no vehicle was nearby and no impact potential existed. The observation was resolved through routine corrective action.",Non-SIF,Traffic Awareness,Near-miss observation,Pedestrian walkway,Pedestrian awareness and designated walkways,Internal Test Dataset,,Construction,Near Miss,2025-08-16,internal_test
SIF-100,"During welding / cutting at the process-unit pipe rack, a worker performed hot work without required gas testing and fire-watch controls. The deviation had potential for fatal or life-altering harm.",SIF,Hot Work,Welding / cutting,Process-unit pipe rack,"Hot-work permit, gas test, combustible control, and fire watch",Internal Test Dataset,,Mining,SIF precursor,2025-12-17,internal_test
NON-SIF-086,"During ppe inspection at the workshop entrance, an employee was reminded to replace worn safety glasses before starting low-risk work. The observation was resolved through routine corrective action.",Non-SIF,PPE Compliance,PPE inspection,Workshop entrance,"PPE availability, inspection, and supervisor reminder",Internal Test Dataset,,Warehousing,Near Miss,2024-06-18,internal_test
NON-SIF-042,"During near-miss observation at the pedestrian walkway, a pedestrian stepped briefly outside a marked walkway; no vehicle was nearby and no impact potential existed. The observation was resolved through routine corrective action.",Non-SIF,Traffic Awareness,Near-miss observation,Pedestrian walkway,Pedestrian awareness and designated walkways,Internal Test Dataset,,Construction,Near Miss,2026-09-11,internal_test
NON-SIF-063,"During spill cleanup at the break room, a small water spill was identified and cleaned immediately with no exposure or slip injury. The item was recorded for normal follow-up.",Non-SIF,Spill Management,Spill cleanup,Break room,"Prompt cleanup, warning signage, and waste disposal",Internal Test Dataset,,Office,Low-risk observation,2025-05-22,internal_test
NON-SIF-009,"During small spill response at the loading dock, a minor non-hazardous oil drip was contained and cleaned before anyone was exposed. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Spill Management,Small spill response,Loading dock,Prompt cleanup and inspection,Internal Test Dataset,,Office,Low-risk observation,2025-02-07,internal_test
NON-SIF-048,"During near-miss observation at the parking area, a delivery vehicle stopped before a marked crossing; no person entered the vehicle path. The condition did not involve high-energy or life-threatening hazards.",Non-SIF,Traffic Awareness,Near-miss observation,Parking area,Speed awareness and pedestrian vigilance,Internal Test Dataset,,Construction,Near Miss,2024-12-25,internal_test
SIF-058,"During pressure testing / line breaking at the pressure-test area, a worker stood in the line of fire during pressure testing without hose restraint. The task was stopped and the area was secured.",SIF,Pressure Systems,Pressure testing / line breaking,Pressure-test area,"Depressurization, pressure relief, rated equipment, and hose restraint",Internal Test Dataset,,Manufacturing,SIF precursor,2025-10-23,internal_test
NON-SIF-014,"During ppe inspection at the workshop entrance, an employee was reminded to replace worn safety glasses before starting low-risk work. The observation was resolved through routine corrective action.",Non-SIF,PPE Compliance,PPE inspection,Workshop entrance,"PPE availability, inspection, and supervisor reminder",Internal Test Dataset,,Warehousing,Near Miss,2026-12-18,internal_test
SIF-043,"During vehicle or mobile-equipment operation at the haul road, a worker reversed mobile equipment with restricted visibility and no spotter. The event was reported for immediate corrective action.",SIF,Driving Safety,Vehicle or mobile-equipment operation,Haul road,"Traffic-management plan, segregation, speed control, visibility, and spotter",Internal Test Dataset,,Oil & Gas,Potential SIF,2026-06-07,internal_test
NON-SIF-052,"During documentation review at the maintenance office, a routine inspection checklist was missing a supervisor signature. The condition did not involve high-energy or life-threatening hazards.",Non-SIF,Documentation Control,Documentation review,Maintenance office,"Current forms, record review, and supervisor approval",Internal Test Dataset,,Food Processing,Near Miss,2026-06-21,internal_test
NON-SIF-015,"During spill cleanup at the break room, a small water spill was identified and cleaned immediately with no exposure or slip injury. The item was recorded for normal follow-up.",Non-SIF,Spill Management,Spill cleanup,Break room,"Prompt cleanup, warning signage, and waste disposal",Internal Test Dataset,,Office,Low-risk observation,2026-01-16,internal_test
NON-SIF-078,"During near-miss observation at the pedestrian walkway, a pedestrian stepped briefly outside a marked walkway; no vehicle was nearby and no impact potential existed. The observation was resolved through routine corrective action.",Non-SIF,Traffic Awareness,Near-miss observation,Pedestrian walkway,Pedestrian awareness and designated walkways,Internal Test Dataset,,Construction,Near Miss,2026-01-15,internal_test
SIF-095,"During process operation at the reactor area, a worker continued process operation after a critical pressure or temperature alarm. The event was reported for immediate corrective action.",SIF,Process Safety,Process operation,Reactor area,"Operating procedure, alarm response, management of change, and relief protection",Internal Test Dataset,,Utilities,Potential SIF,2025-07-17,internal_test
SIF-099,"During equipment maintenance at the conveyor maintenance area, a worker started maintenance before all energy sources were isolated and verified. The event was reported for immediate corrective action.",SIF,Energy Isolation,Equipment maintenance,Conveyor maintenance area,"LOTO, isolation verification, and zero-energy test",Internal Test Dataset,,Oil & Gas,Potential SIF,2025-08-10,internal_test
SIF-038,"During electrical maintenance at the motor control center, a worker began work on equipment that had not been confirmed de-energized. The task was stopped and the area was secured.",SIF,Electrical Safety,Electrical maintenance,Motor control center,"De-energization, LOTO, test-before-touch, PPE, and insulated tools",Internal Test Dataset,,Warehousing,SIF precursor,2025-08-13,internal_test
SIF-001,"During confined-space entry at the process vessel, a worker entered a confined space without gas testing or a completed permit. The condition was identified before injury occurred.",SIF,Confined Space Entry,Confined-space entry,Process vessel,"Entry permit, gas testing, ventilation, attendant, and rescue arrangement",Internal Test Dataset,,Construction,Potential SIF,2025-05-09,internal_test
NON-SIF-044,"During ppe inspection at the chemical store entrance, a worker was reminded to wear gloves while handling sealed cleaning containers. The condition did not involve high-energy or life-threatening hazards.",Non-SIF,PPE Compliance,PPE inspection,Chemical store entrance,PPE inspection and replacement,Internal Test Dataset,,Warehousing,Near Miss,2026-09-20,internal_test
NON-SIF-069,"During small spill response at the loading dock, a minor non-hazardous oil drip was contained and cleaned before anyone was exposed. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Spill Management,Small spill response,Loading dock,Prompt cleanup and inspection,Internal Test Dataset,,Office,Low-risk observation,2026-06-13,internal_test
SIF-025,"During confined-space entry at the process vessel, a worker entered a confined space without gas testing or a completed permit. The condition was identified before injury occurred.",SIF,Confined Space Entry,Confined-space entry,Process vessel,"Entry permit, gas testing, ventilation, attendant, and rescue arrangement",Internal Test Dataset,,Construction,Potential SIF,2024-05-01,internal_test
SIF-064,"During welding / cutting at the process-unit pipe rack, a worker performed hot work without required gas testing and fire-watch controls. The deviation had potential for fatal or life-altering harm.",SIF,Hot Work,Welding / cutting,Process-unit pipe rack,"Hot-work permit, gas test, combustible control, and fire watch",Internal Test Dataset,,Energy,SIF precursor,2025-05-15,internal_test
SIF-047,"During process operation at the reactor area, a worker continued process operation after a critical pressure or temperature alarm. The event was reported for immediate corrective action.",SIF,Process Safety,Process operation,Reactor area,"Operating procedure, alarm response, management of change, and relief protection",Internal Test Dataset,,Utilities,Potential SIF,2024-06-13,internal_test
SIF-040,"During welding / cutting at the process-unit pipe rack, a worker performed hot work without required gas testing and fire-watch controls. The deviation had potential for fatal or life-altering harm.",SIF,Hot Work,Welding / cutting,Process-unit pipe rack,"Hot-work permit, gas test, combustible control, and fire watch",Internal Test Dataset,,Energy,SIF precursor,2026-11-01,internal_test
NON-SIF-029,"During low-risk observation at the storage area, materials were stacked unevenly on a low shelf and were restacked before use. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Safe Work Observation,Low-risk observation,Storage area,"Observation, feedback, and routine follow-up",Internal Test Dataset,,Utilities,Low-risk observation,2026-03-09,internal_test
SIF-003,"During equipment maintenance at the conveyor maintenance area, a worker started maintenance before all energy sources were isolated and verified. The event was reported for immediate corrective action.",SIF,Energy Isolation,Equipment maintenance,Conveyor maintenance area,"LOTO, isolation verification, and zero-energy test",Internal Test Dataset,,Oil & Gas,Potential SIF,2025-03-03,internal_test
SIF-030,"During mechanical lifting at the crane lifting zone, a worker entered the exclusion zone while a suspended load was being positioned. The task was stopped and the area was secured.",SIF,Lifting Operations,Mechanical lifting,Crane lifting zone,"Lift plan, inspected rigging, competent lifting team, and exclusion zone",Internal Test Dataset,,Warehousing,SIF precursor,2024-07-27,internal_test
SIF-027,"During equipment maintenance at the conveyor maintenance area, a worker started maintenance before all energy sources were isolated and verified. The event was reported for immediate corrective action.",SIF,Energy Isolation,Equipment maintenance,Conveyor maintenance area,"LOTO, isolation verification, and zero-energy test",Internal Test Dataset,,Oil & Gas,Potential SIF,2026-01-03,internal_test
SIF-018,"During mechanical lifting at the crane lifting zone, a worker entered the exclusion zone while a suspended load was being positioned. The task was stopped and the area was secured.",SIF,Lifting Operations,Mechanical lifting,Crane lifting zone,"Lift plan, inspected rigging, competent lifting team, and exclusion zone",Internal Test Dataset,,Manufacturing,SIF precursor,2024-05-25,internal_test
SIF-097,"During confined-space entry at the process vessel, a worker entered a confined space without gas testing or a completed permit. The condition was identified before injury occurred.",SIF,Confined Space Entry,Confined-space entry,Process vessel,"Entry permit, gas testing, ventilation, attendant, and rescue arrangement",Internal Test Dataset,,Construction,Potential SIF,2024-10-02,internal_test
NON-SIF-077,"During low-risk observation at the storage area, materials were stacked unevenly on a low shelf and were restacked before use. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Safe Work Observation,Low-risk observation,Storage area,"Observation, feedback, and routine follow-up",Internal Test Dataset,,Utilities,Low-risk observation,2025-06-23,internal_test
SIF-053,"During work at height at the roof edge, a worker worked at an unprotected edge without a verified fall-arrest connection. The condition was identified before injury occurred.",SIF,Working at Height,Work at height,Roof edge,Fall protection / access equipment inspection,Internal Test Dataset,,Chemical,Potential SIF,2024-07-11,internal_test
NON-SIF-081,"During small spill response at the loading dock, a minor non-hazardous oil drip was contained and cleaned before anyone was exposed. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Spill Management,Small spill response,Loading dock,Prompt cleanup and inspection,Internal Test Dataset,,Office,Low-risk observation,2024-04-27,internal_test
SIF-071,"During process operation at the reactor area, a worker continued process operation after a critical pressure or temperature alarm. The event was reported for immediate corrective action.",SIF,Process Safety,Process operation,Reactor area,"Operating procedure, alarm response, management of change, and relief protection",Internal Test Dataset,,Utilities,Potential SIF,2024-03-22,internal_test
NON-SIF-073,"During housekeeping inspection at the warehouse aisle, a small amount of cardboard packaging was found in a designated aisle and was removed. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Housekeeping,Housekeeping inspection,Warehouse aisle,Routine inspection and timely removal of obstructions,Internal Test Dataset,,Manufacturing,Low-risk observation,2024-08-12,internal_test
NON-SIF-056,"During ppe inspection at the chemical store entrance, a worker was reminded to wear gloves while handling sealed cleaning containers. The condition did not involve high-energy or life-threatening hazards.",Non-SIF,PPE Compliance,PPE inspection,Chemical store entrance,PPE inspection and replacement,Internal Test Dataset,,Warehousing,Near Miss,2025-08-19,internal_test
SIF-056,"During excavation work at the utility trench, a worker entered an unsupported excavation exceeding safe depth. The deviation had potential for fatal or life-altering harm.",SIF,Excavation Safety,Excavation work,Utility trench,"Competent-person inspection and shoring, shielding, or sloping",Internal Test Dataset,,Energy,SIF precursor,2025-04-06,internal_test
SIF-072,"During maintenance / material handling at the mobile-equipment maintenance bay, a worker worked beneath an elevated component without blocking it against movement. The deviation had potential for fatal or life-altering harm.",SIF,Line of Fire,Maintenance / material handling,Mobile-equipment maintenance bay,"Exclusion zone, blocking, and stored-energy control",Internal Test Dataset,,Energy,SIF precursor,2026-04-06,internal_test
NON-SIF-023,"During low-risk observation at the office work area, a monitor height was adjusted after an employee reported minor discomfort. The item was recorded for normal follow-up.",Non-SIF,Ergonomics,Low-risk observation,Office work area,Workstation adjustment and reporting,Internal Test Dataset,,Utilities,Low-risk observation,2026-10-02,internal_test
NON-SIF-064,"During documentation review at the maintenance office, a routine inspection checklist was missing a supervisor signature. The condition did not involve high-energy or life-threatening hazards.",Non-SIF,Documentation Control,Documentation review,Maintenance office,"Current forms, record review, and supervisor approval",Internal Test Dataset,,Food Processing,Near Miss,2026-07-22,internal_test
SIF-020,"During excavation work at the utility trench, a worker entered an unsupported excavation exceeding safe depth. The deviation had potential for fatal or life-altering harm.",SIF,Excavation Safety,Excavation work,Utility trench,"Competent-person inspection and shoring, shielding, or sloping",Internal Test Dataset,,Mining,SIF precursor,2026-10-25,internal_test
NON-SIF-094,"During documentation review at the control room, a shift log contained an incomplete equipment-status entry and was corrected. The observation was resolved through routine corrective action.",Non-SIF,Documentation Control,Documentation review,Control room,Record completion and shift handover,Internal Test Dataset,,Food Processing,Near Miss,2026-02-16,internal_test
SIF-037,"During confined-space entry at the process vessel, a worker entered a confined space without gas testing or a completed permit. The condition was identified before injury occurred.",SIF,Confined Space Entry,Confined-space entry,Process vessel,"Entry permit, gas testing, ventilation, attendant, and rescue arrangement",Internal Test Dataset,,Chemical,Potential SIF,2024-03-17,internal_test
SIF-065,"During work at height at the roof edge, a worker worked at an unprotected edge without a verified fall-arrest connection. The condition was identified before injury occurred.",SIF,Working at Height,Work at height,Roof edge,Fall protection / access equipment inspection,Internal Test Dataset,,Construction,Potential SIF,2024-11-06,internal_test
SIF-076,"During welding / cutting at the process-unit pipe rack, a worker performed hot work without required gas testing and fire-watch controls. The deviation had potential for fatal or life-altering harm.",SIF,Hot Work,Welding / cutting,Process-unit pipe rack,"Hot-work permit, gas test, combustible control, and fire watch",Internal Test Dataset,,Mining,SIF precursor,2026-06-11,internal_test
NON-SIF-071,"During low-risk observation at the office work area, a monitor height was adjusted after an employee reported minor discomfort. The item was recorded for normal follow-up.",Non-SIF,Ergonomics,Low-risk observation,Office work area,Workstation adjustment and reporting,Internal Test Dataset,,Utilities,Low-risk observation,2026-12-13,internal_test
SIF-033,"During chemical transfer / handling at the chemical transfer station, a worker opened a pressurized chemical connection before confirming the line was depressurized. The condition was identified before injury occurred.",SIF,Chemical Safety,Chemical transfer / handling,Chemical transfer station,"Chemical labeling, containment, ventilation, and chemical PPE",Internal Test Dataset,,Construction,Potential SIF,2026-06-22,internal_test
NON-SIF-001,"During housekeeping inspection at the warehouse aisle, a small amount of cardboard packaging was found in a designated aisle and was removed. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Housekeeping,Housekeeping inspection,Warehouse aisle,Routine inspection and timely removal of obstructions,Internal Test Dataset,,Manufacturing,Low-risk observation,2024-01-22,internal_test
SIF-007,"During vehicle or mobile-equipment operation at the haul road, a worker reversed mobile equipment with restricted visibility and no spotter. The event was reported for immediate corrective action.",SIF,Driving Safety,Vehicle or mobile-equipment operation,Haul road,"Traffic-management plan, segregation, speed control, visibility, and spotter",Internal Test Dataset,,Utilities,Potential SIF,2025-11-03,internal_test
NON-SIF-007,"During housekeeping inspection at the tool crib, a hand tool was left on a bench and was returned to the assigned storage location. The item was recorded for normal follow-up.",Non-SIF,Housekeeping,Housekeeping inspection,Tool crib,Tool storage and routine inspection,Internal Test Dataset,,Manufacturing,Low-risk observation,2025-02-22,internal_test
NON-SIF-098,"During ppe inspection at the workshop entrance, an employee was reminded to replace worn safety glasses before starting low-risk work. The observation was resolved through routine corrective action.",Non-SIF,PPE Compliance,PPE inspection,Workshop entrance,"PPE availability, inspection, and supervisor reminder",Internal Test Dataset,,Warehousing,Near Miss,2026-04-19,internal_test
SIF-015,"During equipment maintenance at the conveyor maintenance area, a worker started maintenance before all energy sources were isolated and verified. The event was reported for immediate corrective action.",SIF,Energy Isolation,Equipment maintenance,Conveyor maintenance area,"LOTO, isolation verification, and zero-energy test",Internal Test Dataset,,Utilities,Potential SIF,2025-11-03,internal_test
SIF-031,"During vehicle or mobile-equipment operation at the haul road, a worker reversed mobile equipment with restricted visibility and no spotter. The event was reported for immediate corrective action.",SIF,Driving Safety,Vehicle or mobile-equipment operation,Haul road,"Traffic-management plan, segregation, speed control, visibility, and spotter",Internal Test Dataset,,Utilities,Potential SIF,2025-08-01,internal_test
NON-SIF-083,"During low-risk observation at the office work area, a monitor height was adjusted after an employee reported minor discomfort. The item was recorded for normal follow-up.",Non-SIF,Ergonomics,Low-risk observation,Office work area,Workstation adjustment and reporting,Internal Test Dataset,,Utilities,Low-risk observation,2024-03-17,internal_test
SIF-042,"During mechanical lifting at the crane lifting zone, a worker entered the exclusion zone while a suspended load was being positioned. The task was stopped and the area was secured.",SIF,Lifting Operations,Mechanical lifting,Crane lifting zone,"Lift plan, inspected rigging, competent lifting team, and exclusion zone",Internal Test Dataset,,Manufacturing,SIF precursor,2026-01-02,internal_test
SIF-002,"During electrical maintenance at the motor control center, a worker began work on equipment that had not been confirmed de-energized. The task was stopped and the area was secured.",SIF,Electrical Safety,Electrical maintenance,Motor control center,"De-energization, LOTO, test-before-touch, PPE, and insulated tools",Internal Test Dataset,,Manufacturing,SIF precursor,2024-09-04,internal_test
SIF-045,"During chemical transfer / handling at the chemical transfer station, a worker opened a pressurized chemical connection before confirming the line was depressurized. The condition was identified before injury occurred.",SIF,Chemical Safety,Chemical transfer / handling,Chemical transfer station,"Chemical labeling, containment, ventilation, and chemical PPE",Internal Test Dataset,,Chemical,Potential SIF,2024-02-18,internal_test
NON-SIF-039,"During spill cleanup at the break room, a small water spill was identified and cleaned immediately with no exposure or slip injury. The item was recorded for normal follow-up.",Non-SIF,Spill Management,Spill cleanup,Break room,"Prompt cleanup, warning signage, and waste disposal",Internal Test Dataset,,Office,Low-risk observation,2026-02-13,internal_test
